,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9
ENSMUSG00000001946,129,350,77,234,363,353,460,307,243,330
ENSMUSG00000001948,10,71,30,59,74,82,70,60,75,56
ENSMUSG00000001962,266,327,305,288,402,403,295,256,241,223
ENSMUSG00000001964,307.7216088,424.012515,329.0123953,342.4218752,464.0831304,488.4092857,395.329797,293.2615607,319.8837799,334.6266808
ENSMUSG00000001983,179,111,325,122,136,118,84,71,68,62
ENSMUSG00000001985,3.001426332,11.38605856,4.411437663,2.000209207,14.00377807,5.001054086,4.177690963,7.000910368,12.0010753,9.0024458
ENSMUSG00000001986,42.02976044,170.0852885,35.67887124,158,215.1369429,195.0014427,128.0654451,169.1687683,188.0917002,152.0012018
ENSMUSG00000001988,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000001995,286,259,427,239,274,193,138,118,201,154
ENSMUSG00000001998,118.4499782,144.0204958,114.8047152,116.0073476,136.010139,57.02402996,116.0155144,124,128.9187647,107.0001908
ENSMUSG00000001999,169,101,220,101,130,144,102,95,96,80
ENSMUSG00000002006,35,412,106,344,524,335,331,280,385,246
ENSMUSG00000002007,51,27,7,54,43,81,10,19,12,30
ENSMUSG00000002010,1587,1110,2568,1223,1587,1620,1250,1025,1015,965
ENSMUSG00000002012,4,71,26,71,80,58,49,62,56,41
ENSMUSG00000002014,1585,2721,2001,2255,3748,3947,3622,2810,3079,2586
ENSMUSG00000002015,1491,772,2065,875,920,1250,698,553,651,572
ENSMUSG00000002017,397,691,487,600,818,694,485,473,556,401
ENSMUSG00000002020,213,66,23,71,54,97,27,31,25,54
ENSMUSG00000002028,1349,2369,995,1650,1994,910,1522,1740,2424,1591
ENSMUSG00000002031,225.2422494,412.4701722,325.0740009,357.4651247,484.049406,418.1162219,485.9180707,413.9861187,403,368.5081805
ENSMUSG00000002032,46,121,86,132,187,131,133,99,122,90
ENSMUSG00000002033,717,95,122,129,92,154,12,15,11,66
ENSMUSG00000002043,199,136,355,131,188,264,180,102,129,102
ENSMUSG00000002052,1378.030896,2089,1853,1697.006333,2196.011598,1634,1647.900265,1516.820601,1946,1551
ENSMUSG00000002055,287,39.00995254,553.0439238,119,107,132,62.00389033,43.00015233,21.00017927,16
ENSMUSG00000002057,0,3.000079403,1.000084814,0,13.00071787,4.000238012,4.000323064,3.00012097,1.00002281,0
ENSMUSG00000002058,106,155,70,151,195,223,153,128,137,108
ENSMUSG00000002059,21,157.0370774,52.01602612,128.0007073,214.99749,191,173.0598431,146.9755128,151,127.003024
ENSMUSG00000002064,496,487,605,490,659,663,586,406,493,458
ENSMUSG00000002068,106,48,100,86,80,101,41,41,42,34
ENSMUSG00000002076,4,1.00000082,2,2,5,3,1,0,1,1
ENSMUSG00000002083,74,126,79,93,166,125,131,100,93,98
ENSMUSG00000002100,2,1,0,0,0,0,0,1,1,0
ENSMUSG00000002102,1242,815,1761,811,948,1087,791,539,678,655
ENSMUSG00000002103,560.2921344,763,713,711,919,759.0274666,718,725,769,648
ENSMUSG00000002104,3,0,0,2,4,1,0,0,1,1
ENSMUSG00000002105,117,483,160,338,617,476,482,430,418,364
ENSMUSG00000002107,701,511,116,471,425,395,268,289,340,436
ENSMUSG00000002108,398,169,698,203,262,296,147,109,131,129
ENSMUSG00000002109,146,80,106,89,75,90,61,66,45,52.04991372
ENSMUSG00000002111,181,122,23,122,112,207,135,57,55,72
ENSMUSG00000002129,860,844,1091,704,909,784,568,519,620,597
ENSMUSG00000002147,1674,720,1773,846,843,874,651,488,558,647
ENSMUSG00000002190,10,12,3,4,10,7,4,14,6,10
ENSMUSG00000002204,430.0416569,385.0348626,27.15873495,199.0273093,187.0166811,528.0733104,87.01357143,123.0228214,106.0122631,365.0613995
ENSMUSG00000002205,522,418.0006468,753,421.023169,541.3458321,536,419,308.67339,350.1026609,336.0083347
ENSMUSG00000002210,244.0804632,297.2714136,306.0567249,231.0025858,354.0055306,323.632421,280.7173657,232.6132747,255.132403,215.2041352
ENSMUSG00000002221,445.0068834,2960.512672,812.0210421,1599.397917,2167.848421,1211.208617,2170.235124,2313.821121,2339.617786,2123.781287
ENSMUSG00000002222,1315,2152,1678,1845,2173,1467,1947,1888,2201,1908
ENSMUSG00000002227,806,170,1330,380,348,342,171,135,155,116
ENSMUSG00000002228,198,41,357,66,96,75,16,5,6,8
ENSMUSG00000002233,872,245,1540,360,416,515,247,142,154,179
ENSMUSG00000002240,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002249,151,29,379,59,70.00017654,58,38,23,32,43
ENSMUSG00000002250,1111,574.1140112,1630.000557,628,747.096665,644,537.1284437,452.0004892,407,529.0988489
ENSMUSG00000002257,238,99,31,75,76,125,45,49,33,55
ENSMUSG00000002265,971,13920,3059,9781,14788,7080,10811,12376,13234,9355
ENSMUSG00000002266,51.07487799,417.5118348,147.4318489,476.4670872,585.0490955,357.4163188,338.5979101,409.5455457,448.3901539,329.4594715
ENSMUSG00000002274,59,30,25,42,53,45.3919533,41,19,29,44
ENSMUSG00000002279,175.0023011,276,264.0081854,226.0079769,351,362,319,260,303,241.00914
ENSMUSG00000002280,229,255,374,232,291,295,261,221,246,200
ENSMUSG00000002289,262.0032782,147.0040592,629.0076928,182.0210134,143.0095699,198.0025921,139.0025473,70.85670736,66.00172384,132.0045975
ENSMUSG00000002297,220.3851571,59.15436458,219.3459833,87,71.0663653,105.709631,35.1021001,50.19372812,41,43.21041717
ENSMUSG00000002307,357,348,547,292,367,337,289,245,291,285
ENSMUSG00000002308,84,126,142,116,156,144,146,99,111,117
ENSMUSG00000002319,362,979.2086966,535.4685957,735,1099.508068,845.9118988,1089.68789,755.7771246,857.5584653,883
ENSMUSG00000002320,987,768.5428959,1520.215133,772,1151.112855,995.6794331,768.7217309,684.5695178,749.2334725,575
ENSMUSG00000002324,410,366,989,410,624,592,464,277,306,257
ENSMUSG00000002325,549.9648173,296,802.1497537,303.2690006,307.3014656,313.2410544,261,217,228,294.0718528
ENSMUSG00000002326,191,152,250,134,148,215,114,84,112,94
ENSMUSG00000002329,441,275,699,330,395,450,273,189,266,203
ENSMUSG00000002332,3007,451,4954,1134,1082,1385,441,293,413,292
ENSMUSG00000002341,1.000038451,9.000418158,3.023188663,1.00462478,2.011696732,1.000050605,2.000061744,5.000207166,3.013198531,7.059632934
ENSMUSG00000002342,264,383,504,346,444,419,366,300,338,306
ENSMUSG00000002343,73,90,90,74,115,109,83,61,77,66
ENSMUSG00000002345,230,178,234,185,204,233,150,141,145,114
ENSMUSG00000002346,215.7115172,452.3441972,287.1809011,314.8142556,559.8494812,384.0949456,423.1782435,399.392581,395.6742159,306.3421059
ENSMUSG00000002365,1330,629,1932,700,769,821,543,447,547,445
ENSMUSG00000002372,593.2325516,823.4792184,748.1077428,670.0023986,906.1116463,828.0032712,758.1295572,598.6038648,623.1877858,586.8297343
ENSMUSG00000002379,680,434,1112,466,650,723,550,348,380,338
ENSMUSG00000002384,3,3,7.001821874,7,5.110865447,0,2,0,0,4
ENSMUSG00000002393,390,320,790,343,466,413,362,271,273,273
ENSMUSG00000002395,509,450,600,457,544,618,490,339,371,432
ENSMUSG00000002396,128,191,151,139,194,155,121,125,148,120
ENSMUSG00000002409,151,352,272,248,349,220,328,274,250,255
ENSMUSG00000002413,346,1336,455,1034,1367,772,1074,1021,1420,1014
ENSMUSG00000002416,434.5381591,368.9284562,716.4125624,344.1318736,468.5113052,515.5752939,353.1238253,294.9942996,331.5731125,299.9165173
ENSMUSG00000002428,374,583.876395,424,451,703.0020251,451,456,438,481.9208895,447
ENSMUSG00000002455,648,1092,775,845,1152,956,885,721,860,761
ENSMUSG00000002458,296,140,30,125,132,211,84,74,68,107
ENSMUSG00000002459,3.000255238,8.198963745,4.043258427,6.265206276,4.242769247,6.068539837,2.000193849,6.019517462,7.000961594,7.000468883
ENSMUSG00000002475,844,241,1351,345,336,376,176,145,217,128
ENSMUSG00000002477,237,148,321,143,161,265,132,98,109,136
ENSMUSG00000002486,64.58819305,160,56.6822229,111.0309251,131.3809337,119.0000551,119,115,122.2332078,89
ENSMUSG00000002489,177,114,136,122,120,115,143,95,119,98
ENSMUSG00000002496,701.4254361,1296.060731,1057.407401,1044.667454,1492,1034,1178.629579,1126.070888,1104,1052.000082
ENSMUSG00000002500,0,0,0,0,0,2,1,0,0,0
ENSMUSG00000002504,188,397,161,286,453,446,451,342,351,357
ENSMUSG00000002524,913,1173,1127,941,1291,1322,1091,862,914,880
ENSMUSG00000002546,719,1747.99504,1144,1239,1888,1342,1410,1350,1516,1141
ENSMUSG00000002550,505,376,815.8423991,369,518,508.7888576,319,327,320,274
ENSMUSG00000002565,466,29,1065.279394,159,98,167,33,13,17,12.83407086
ENSMUSG00000002578,34.00068514,134.3037502,28.15331552,84.00375448,83.74930781,86.0280261,151.9872576,131.0410416,138.0095115,260.1872051
ENSMUSG00000002580,410,518,556,480,661,770,576,439,559,463
ENSMUSG00000002588,0,0,5,0,6,4,0,1,1,0
ENSMUSG00000002602,236,273,41,202,260,358,238,137,194,215
ENSMUSG00000002603,499.4351383,273.0053262,67.33332361,215.315289,256.5758401,402.0031687,193.9792396,128,132.4045508,278.1909418
ENSMUSG00000002608,498,677,498,487,707,576,604,469,524,468
ENSMUSG00000002617,37.0137975,91.19729153,28.01240989,79,81.02677847,63,63,71,91,84.03745555
ENSMUSG00000002625,439,1288,502,730,1118,680,1147,1030,685,916
ENSMUSG00000002633,17,0,12,0,1,2,0,0,0,0
ENSMUSG00000002635,73,146,112,114,147,131,101,94,122,100
ENSMUSG00000002658,631,371,744,361,510,523,316,264,304,237
ENSMUSG00000002660,298,422,483,304,519,528,409,303,362,283
ENSMUSG00000002661,108,72,149,88,105,114,72,47,61,62
ENSMUSG00000002664,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000002668,330.2039678,101.757041,26.15081987,106.7863061,88.27086075,154.0887001,55.72130965,32.00329209,56.70653101,104.629124
ENSMUSG00000002679,144,157,193,164,188,190,133,110,142,129
ENSMUSG00000002688,29,878,109,357,531,313,681,640,808,592
ENSMUSG00000002699,640.1971515,145.2683247,50.32116536,118.5296119,113.412206,216.0165897,84.37272422,41.0064693,49.00710369,116.0032371
ENSMUSG00000002718,638,736,782,696,725,717,560,490,581,465.0369888
ENSMUSG00000002728,343,576,557,454,586,605,442,413,494,368
ENSMUSG00000002731,206,114,406,162,214,176,136,122,126,107
ENSMUSG00000002732,20,23,12,11,23,23,20,12,14,21
ENSMUSG00000002733,315,489.1382333,399.2662853,413,482.2196206,468,399,375.0041471,422.7601873,354
ENSMUSG00000002741,1376,919,2020,935,1151,1105,908,665,733,728
ENSMUSG00000002748,1144.03115,2127.198109,1334.106153,1440.101317,1651.098749,1264.02417,1328.043974,1249.108982,1613.093038,1257.086656
ENSMUSG00000002763,428,680,759,563,825,758,682,498,573,518
ENSMUSG00000002767,295,253,582,242,355,418,281,188,222,180
ENSMUSG00000002768,475,408,759,429,564,611,482,323,376,330
ENSMUSG00000002769,255,380,204,237,400,279,697,358,356,760
ENSMUSG00000002771,60,33,84,34,43,27,25,28,29,27
ENSMUSG00000002778,1803,1930,2807,1833,2625,2203,2083,1644,1650,1438
ENSMUSG00000002781,239.3946672,181.1461353,441.0344106,187.3358667,239.0988061,203,176.7907702,126.5815443,145.0274748,132.0418929
ENSMUSG00000002791,3,2,0,2,2.026230936,3.000251633,1,5,5,1
ENSMUSG00000002797,65.00250004,75.00004827,67.00004412,67.00232165,91.00005145,88,60.00039748,74.00235906,71.00016471,57.00005969
ENSMUSG00000002799,58,439,118,348,517,340,430,337,385,310
ENSMUSG00000002803,179,299,326,273,331,297,262,232,259,215
ENSMUSG00000002804,135,80,210,126,166,146,117,74,89,75
ENSMUSG00000002808,35,79,34,68,87,70,60,52,72,69
ENSMUSG00000002812,1302,1342,1822,1047,1347,1207,1017,939,988,1013
ENSMUSG00000002814,101,144,131,90,126,98,83,68,94,89
ENSMUSG00000002820,554,489,1012,454,553,536,481,356,364,331
ENSMUSG00000002825,90,211,138,105,135,143,222,133,175,210
ENSMUSG00000002831,17,51,8,11,9,6,89,42,36,153
ENSMUSG00000002833,332.1087616,535.2307512,370,287,494.0789101,475.053313,584,353.0054699,393,611.0611643
ENSMUSG00000002835,150,47.00053823,269.0302568,77.05423238,51.0059069,104.6399302,35.00396589,31.01249701,37,26.00400619
ENSMUSG00000002844,329.40992,572.0158216,372.9244417,455.2794305,629.068804,681.2857705,485.0535124,442.1159249,469.0652819,364.0363747
ENSMUSG00000002845,314,806,449,628,1083,794,748,726,680,660
ENSMUSG00000002846,194.5117939,233.4721986,298,205.4831052,269.1621357,252.4518999,195,152.0673295,207.0475359,132
ENSMUSG00000002847,7,20,5,11,17,22,12,11,13,11
ENSMUSG00000002870,424.0015985,170,457.0000935,222,255,286,140,140,116,116.0004154
ENSMUSG00000002871,308,421,515,297,490,409,353,343,274,263
ENSMUSG00000002881,630.0246923,523.0188594,512.185004,475.0254213,535.0194548,442.0252004,411.0243842,408.0565442,459.0221512,475.0313792
ENSMUSG00000002885,1021,626,265,420,543,936,492,299,321,589
ENSMUSG00000002897,646.5495938,439.3826287,275.7676829,383.0303187,448.3364145,468.4568176,348.720125,318.2745857,304.9398857,334.8207844
ENSMUSG00000002900,76,123,44.06505363,126,199,174,116,96,112,103
ENSMUSG00000002908,9,63.14891491,21,53,76.18935741,48,42,45.15597716,53.00080139,56
ENSMUSG00000002910,97,135,131,95,151,138,217,121,118,202
ENSMUSG00000002930,5.000473579,198.0086656,16.00206419,55,74,114.0107061,201.0099732,98.00561855,88.01808321,105
ENSMUSG00000002944,899,476,849,517,509,657,801,238,405,534
ENSMUSG00000002948,489,856,505,627.4697615,936.2411662,642.3856943,716.5565112,609.103664,619.0894574,608.4597253
ENSMUSG00000002949,533,298,883,310,356,436,319,249,253,226
ENSMUSG00000002957,1867,1735,2695,1614,2189,1624,1796,1415,1577,1231
ENSMUSG00000002963,243,244,280,207,255,309,199,165,201,182
ENSMUSG00000002968,807.7119106,1417.451304,1319.044844,951.0215831,1694.099702,1265.063771,1421.024223,1156.00233,1114.158197,1030.537669
ENSMUSG00000002980,158,364,182,376,466,456,508,256,241,302
ENSMUSG00000002981,1839,1487,2882,1370,1776,1607,1214,1062,1162,1059
ENSMUSG00000002983,473.1584097,164.001389,409.0135727,196,152.0028287,234.0145189,208,92,96.00126413,204
ENSMUSG00000002984,547.1315092,330.0298758,1078,389.0249075,447,597,364,281.0260011,282.0415486,280
ENSMUSG00000002985,1740,3311,933,2359,3301,5623,3666,1420,1840,2166
ENSMUSG00000002992,6786.557005,482,10870.74597,2386,2546,3009.493983,369,65,258,62
ENSMUSG00000002996,793,1150,919,980,1458,1068,1199,1003,1105,1083
ENSMUSG00000002997,60,579,98,383,578,398,457,417,593,449
ENSMUSG00000003031,855,1194,741,897,1178,909,850,835,926,755
ENSMUSG00000003032,1005,256,1109.027539,342,459.549861,386.0793801,247,102.1876897,157,156
ENSMUSG00000003033,520,648,516,497,745,625,582,477,467,452
ENSMUSG00000003037,1893,857.0121069,2402,986,1116,1275,788,637,721,650
ENSMUSG00000003038,977.1020567,1114.040339,1387.122398,1226.474787,1316.35965,1694.8885,1015.834729,877.3460328,972.0950681,749.5061142
ENSMUSG00000003039,848.1080103,851.1648699,1259,822,1080.150185,1018.652993,839.9119525,688.8161854,751,691
ENSMUSG00000003051,1845,300,4172,634,554,901,499,255,336,540
ENSMUSG00000003053,377,139,1214,291,473,330,39,8,22,6
ENSMUSG00000003062,177,261,312,243,290,270,226,198,201,176
ENSMUSG00000003068,870,1333,1103,971,1285,1202,1129,964,921,992
ENSMUSG00000003070,4,83,16,59,82,71,55,48,61,42
ENSMUSG00000003072,3091,1137,5183,1491,1849,2342,1411,844,979,993
ENSMUSG00000003099,866,920,1486,787,1038,954,788,750,737,767
ENSMUSG00000003119,601,618,628,525,601,342,467,430,504,472
ENSMUSG00000003123,669,190,925,318,335,346,190,160,135,179
ENSMUSG00000003131,636,1495,812,1186,1702,1347,1258,1180,1452,1133
ENSMUSG00000003134,247,690,253,562,743,539,674,555,599,628
ENSMUSG00000003135,362,491,469,413,535,446,399,387,430,428
ENSMUSG00000003153,119,91.17992681,12,45.08794488,54.27866729,79,54,50.47643115,39,61
ENSMUSG00000003154,335,816,299,614,777,467,570,633,618,567
ENSMUSG00000003161,1912,700,3060.249824,1003,903.0163139,1060.023172,560,386,565.0150142,489
ENSMUSG00000003166,1185.719937,1455.539905,1890.805366,1414.729857,1652.647444,1267.69425,1223.326211,1097.159367,1240.969493,1164.779599
ENSMUSG00000003184,653,469,838,423,478,603,473,383,319,401
ENSMUSG00000003190,65,27,99,32,24,44,14,12,17,23
ENSMUSG00000003198,77.0271358,91.02113695,69.70078689,90.81188943,98.14329635,104.1876732,91.80390882,60.81508624,69.5409483,78.01747748
ENSMUSG00000003199,777,466,1113,468,592,616,524,334,378,424
ENSMUSG00000003200,582,489,632,442,627,574,450,359,340,348
ENSMUSG00000003206,36,20,12,34,37,77,22,25,18,18
ENSMUSG00000003208,89,95,109,56,115,106,80,79,65,60
ENSMUSG00000003226,1410.007291,2402.104302,1569,2014,2356,1498.066629,1641,1815,2378.367737,1799
ENSMUSG00000003227,2,1,4,0,0,0,2,0,2,0
ENSMUSG00000003228,155,450,215,514,824,569.4631452,339,334,372,328
ENSMUSG00000003233,527.6586344,959.1836501,795.6491179,738.4894182,1053.570634,626.8814556,827.8177852,818.5268507,748.3171969,617.1884123
ENSMUSG00000003234,546,796,708,606,897,808,657,611,645,516
ENSMUSG00000003235,552,595,695,494,688,602,610,427,539,510
ENSMUSG00000003269,423,721,595,474,645,611,559,461,548,490
ENSMUSG00000003271,643,74,1037,193,228,277,80,53,63,22
ENSMUSG00000003273,13,21,5,14,17,30,30,17,12,23
ENSMUSG00000003279,57,466,128.0150159,276,421,226,303,312.2598944,338,280
ENSMUSG00000003282,16,108,29,65,94,32,63.04168636,99,95,104
ENSMUSG00000003283,452,126,376,142,169,323,54,40,75,98
ENSMUSG00000003299,514,379,808,342,472,541,425,308,362,300
ENSMUSG00000003308,618,903,1091,727,1058,975,888,643,724,716
ENSMUSG00000003309,691,516,1612,595,711,754,565,450,462,445
ENSMUSG00000003316,1152,2937,1571.987994,2282,2955,1639,2310,2335,3000.99681,2342
ENSMUSG00000003341,0,0,0,1,0,1,0,0,0,0
ENSMUSG00000003344,382,535,819,473,636,608,410,368,399,321
ENSMUSG00000003345,1040,1369,1510,1129.720193,1764,1551,1421,1062,1144,1045
ENSMUSG00000003346,1273,553,2000,671,804,928,595,380,429,426
ENSMUSG00000003348,829,327,256,348,342,484,291,225,256,331
ENSMUSG00000003352,193,707,250,640,827,724,700,572,554,459
ENSMUSG00000003354,4,34,2,9,22,11,16,13,10,15
ENSMUSG00000003355,375.1063489,629.0168531,280,466,930,811.0268399,1143,743,814,882
ENSMUSG00000003360,604,773,745,585,763,747,665.0182312,552.0382658,632,556
ENSMUSG00000003363,808,1835,754,1397,2207,1906,1810,1528,1622,1481
ENSMUSG00000003378,65,481,154,347,606,381,465,366.0018502,357,375.0039145
ENSMUSG00000003379,1601,1126,64,978,830,2097,209,367,427,943
ENSMUSG00000003380,694,1301,610,1028,1610,1585,1906,1059,1299,1184
ENSMUSG00000003382,773,419,571,455,524,410,309,286,369,330
ENSMUSG00000003402,1381,1597,2210,1391,2105,2037,1611,1422,1465,1105
ENSMUSG00000003410,5.281363066,23,4.000245252,7.200181625,15.00017969,2.000030548,7.000378799,10.71858657,9.594395144,14.00710039
ENSMUSG00000003411,32,349,109,352,540,496,504,317,408,418
ENSMUSG00000003418,231,87,116,90,80,105,75,59,50,110
ENSMUSG00000003420,717,198,1034,282,236,437,239,74,124,132
ENSMUSG00000003421,321,275,498,270.9567028,365,437,269,226,229,193
ENSMUSG00000003423,255.0041614,144.004322,297.0063133,170.0115037,151.0074036,253.0069822,139.0010604,79.00392187,109.0030141,100.0063082
ENSMUSG00000003429,4869,2331.98684,4857,2412,2318,4029,2346,1559,1715,2270
ENSMUSG00000003435,1457,1854,1635.020791,1475,2451.00359,1872.004741,1789.010306,1501.044922,1564,1409
ENSMUSG00000003436,0,0,2,2,0,2,0,1,0,0
ENSMUSG00000003437,491.0389156,581,568.0187175,484,688,604.000449,506,399.0906056,510.0010373,452
ENSMUSG00000003438,293,186,601,219,235,338,214,140,164,188
ENSMUSG00000003444,176,193,238,173,256,258,197,141,167,150
ENSMUSG00000003452,76.15498901,530.5613503,121.3920264,375.5026841,525.6453316,256.1486578,346.6024514,411.0341477,505.9092578,403.7404443
ENSMUSG00000003458,1201.018631,1522,2122,1531.002359,1979.011608,1582,1465,1245.00381,1343.034114,1091
ENSMUSG00000003464,1132,580,1702,776,808,812,562,481,611,464
ENSMUSG00000003469,21,294,89,269,478,312,304,263,271,151
ENSMUSG00000003476,0,13,5,15,18,19,11,14,6,12
ENSMUSG00000003477,14,6,11,12,21,30,15,2,7,9
ENSMUSG00000003484,61,110,11,61,89,174,41,56,29,95
ENSMUSG00000003500,437,1252,419,975,1892,1344,1357,1113,1069,1011
ENSMUSG00000003505,0,1,0,0,1,0,1,0,0,0
ENSMUSG00000003518,167.8630363,661,157,469,734,594.0218563,564.7582609,441.8701042,480.6930565,457.7614374
ENSMUSG00000003526,153,101,263.003568,57.07732486,56,66,102,50.01386973,67.52547443,137.3745813
ENSMUSG00000003527,155.0741712,217.5653044,200.0340519,163,218.6046687,200.3571972,188.0393165,113.4255269,149.088278,159
ENSMUSG00000003528,1109,904,2010,1124,1410,1409,1031,823,844,655
ENSMUSG00000003531,307,245,428.1471425,227,323,338,240,170,247,158
ENSMUSG00000003534,778,2185,1464,1788,2728,1912,1981,1529,1837,1346
ENSMUSG00000003541,32,41,36,26,42,33,88,32,43,52
ENSMUSG00000003545,33,77,18,42,97,44,139,39,54,43
ENSMUSG00000003546,1107,312,2032,473,564,656,306,233,279,234
ENSMUSG00000003549,89.07948236,113,107.0512566,82.13725667,126.0807097,137,128,76,88.05799615,85.14329231
ENSMUSG00000003555,3,3,2,3,0,2,6,4,3,2
ENSMUSG00000003559,425,593,822,509,688,701,518,386,560,353
ENSMUSG00000003573,41,34,26,29,42,54,41,25,26,42
ENSMUSG00000003575,177,634,327,574,836,462,544,513,537,466.0000143
ENSMUSG00000003581,138,264,193,175,307,235,240,184,222,175
ENSMUSG00000003585,1512,41,2391,471,445,456,72,13,44,16
ENSMUSG00000003604,163.0510536,177.0068,200.0143565,132.0300365,167.0211588,181.0618308,168.0167473,106,147.0297792,147.0976858
ENSMUSG00000003617,197,191,88,288,259,214,339,96,102,271
ENSMUSG00000003623,2064.001501,399.122462,2226.000705,779.0459929,745.0007362,710.0004737,363,245.2033416,347.2171258,283.7348325
